Run,Sample,Layout
SRR1735080,G5064.1,PE
SRR1735081,G3873.2,PE
SRR1735082,G5638.1,PE
SRR1735083,G5619.1,PE
SRR1735084,G5732.2,PE
SRR1735085,G4730.1,PE
SRR1735086,G5502.1,PE
SRR1735087,G5019.1,PE
SRR1735088,G5462.2,PE
SRR1735089,G5908.1,PE
SRR1735090,G4942.1,PE
SRR1735091,G5510.1,PE
SRR1735092,G5236.2,PE
SRR1735093,G3797.2,PE
SRR1735094,G4495.3,PE
SRR1735095,G5687.2,PE
SRR1735096,G4850.1,PE
SRR1735097,SLKEN0008.0,PE
SRR1735098,G5020.1,PE
SRR1735099,G4690.1,PE
SRR1735100,G3901.2,PE
SRR1735101,G5748.2,PE
SRR1735102,G5431.2,PE
SRR1735103,SLBO0366.0,PE
SRR1735104,SLBOO0387.0,PE
SRR1735105,SLKEN0017.0,PE
SRR1735106,G3900.1,PE
SRR1735107,G5644.1,PE
SRR1735108,G5997.1,PE
SRR1735109,SLBO0367.0,PE
SRR1735110,G4726.1,PE
SRR1735111,G4751.1,PE
SRR1735112,G5265.2,PE
SRR1735113,G5117.1,PE
SRR1735114,G3890.1,PE
SRR1735115,G4715.1,PE
SRR1735116,SLBOO0386.0,PE
SRR1735117,G5631.1,PE
SRR1735118,G3907.1,PE
SRR1735119,G5013.1,PE
SRR1735120,G3939.1,PE
SRR1735121,G3915.1,PE
SRR1735122,G5103.1,PE
SRR1735123,G4518.3,PE
SRR1735124,MSF376.0,PE
SRR1735125,G4909.2,PE
SRR1735126,G5568.1,PE
SRR1735127,G5570.1,PE
SRR1735128,G5932.3,PE
SRR1735129,G4697.1,PE
SRR1735130,SLBO0369.0,PE
SRR1735131,G6001.1,PE
SRR1735132,G4789.1,PE
SRR1735133,G4979.2,PE
SRR1735134,G6103.1,PE
SRR1735135,G4969.1,PE
SRR1735136,G4868.1,PE
SRR1735137,G4718.1,PE
SRR1735138,G5590.1,PE
SRR1735139,G3892.1,PE
SRR1735140,G3886.1,PE
SRR1735141,G4931.1,PE
SRR1735142,G5996.1,PE
SRR1735143,G4960.1,PE
SRR1735144,MSF035.0,PE
SRR1735145,G5522.1,PE
SRR1735146,G5375.1,PE
SRR1735147,G4929.2,PE
SRR1735148,G3895.1,PE
SRR1735149,G5894.1,PE
SRR1735150,SLBO0365.0,PE
SRR1735151,G5840.1,PE
SRR1735152,G5059.1,PE
SRR1735153,G5614.1,PE
SRR1735154,G4849.1,PE
SRR1735155,G4875.3,PE
SRR1735156,G6013.1,PE
SRR1735157,G4907.1,PE
SRR1735158,G5735.3,PE
SRR1735159,G5382.2,PE
SRR1735160,G6095.1,PE
SRR1735161,G5935.1,PE
SRR1735162,G4845.3,PE
SRR1735163,G5527.1,PE
SRR1735164,G4698.1,PE
SRR1735165,G5364.1,PE
SRR1735166,G5634.1,PE
SRR1735167,G5643.1,PE
SRR1735168,G5584.1,PE
SRR1735169,G3896.1,PE
SRR1735170,G4702.1,PE
SRR1735171,G5016.1,PE
SRR1735172,G6063.1,PE
SRR1735173,G5999.1,PE
SRR1735174,G5412.2,PE
SRR1735175,G3913.1,PE
SRR1735176,G4704.1,PE
SRR1735177,G5125.1,PE
SRR1735178,G5851.1,PE
SRR1735179,G3940.1,PE
SRR1735180,G6002.1,PE
SRR1735181,G6020.1,PE
SRR1735182,SLBOO0375.0,PE
SRR1735183,SLBO0368.0,PE
SRR1735184,G6014.1,PE
SRR1735185,G4699.1,PE
SRR1735186,G4769.1,PE
SRR1735187,G5533.1,PE
SRR1735188,G4875.2,PE
SRR1735189,G6069.1,PE
SRR1735190,G5980.1,PE
SRR1735191,G3805.3,PE
SRR1735192,G5361.1,PE
SRR1735193,G5867.2,PE
SRR1735194,G3891.1,PE
SRR1735195,G5370.1,PE
SRR1735196,G5615.1,PE
SRR1735197,G3821.2,PE
SRR1735198,G5983.1,PE
SRR1735199,G5650.1,PE
